,Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha)
0,1,1966,14,Chhattisgarh,Durg,462.875,185.0,337.59,44.0,20.0,454.55,0.6,0.4,666.67,3.0,2.0,666.67,0.2,0.1,500.0,50.7,-1.0,-1.0,0.9,1.6,1777.78
1,1,1967,14,Chhattisgarh,Durg,462.875,409.0,747.71,50.0,26.0,520.0,1.1,0.9,818.18,3.0,3.0,1000.0,0.1,0.1,1000.0,113.55,-1.0,-1.0,0.8,1.2,1500.0
2,1,1968,14,Chhattisgarh,Durg,462.875,468.0,841.27,53.7,30.0,558.66,0.5,0.4,800.0,2.8,2.0,714.29,0.1,0.1,1000.0,126.62,-1.0,-1.0,1.0,1.0,1000.0
3,1,1969,14,Chhattisgarh,Durg,462.875,400.8,711.4,49.4,26.5,536.44,0.8,0.6,750.0,2.7,2.3,851.85,0.1,0.1,1000.0,114.14,14.9,130.54,1.0,1.9,1900.0
4,1,1970,14,Chhattisgarh,Durg,462.875,473.6,828.55,44.2,29.0,656.11,0.9,0.6,666.67,2.5,3.3,1320.0,0.1,0.1,1000.0,126.4,24.3,192.25,0.7,1.4,2000.0
5,1,1971,14,Chhattisgarh,Durg,462.875,412.9,709.69,44.4,25.8,581.08,0.3,0.2,666.67,2.7,3.1,1148.15,0.1,1.5,774.4100000000001,124.2,20.2,162.64,0.5,1.0,2000.0
6,1,1972,14,Chhattisgarh,Durg,462.875,381.0,654.41,39.6,20.6,520.2,0.3,0.3,1000.0,2.8,3.2,1142.86,0.1,1.5,774.4100000000001,123.8,25.4,205.17,0.5,1.0,2000.0
7,1,1973,14,Chhattisgarh,Durg,462.875,471.9,786.5,37.3,18.6,498.66,0.2,0.2,1000.0,2.9,2.7,931.03,0.1,1.5,774.4100000000001,130.2,30.3,232.72,0.2,1.2,6000.0
8,1,1974,14,Chhattisgarh,Durg,462.875,219.0,372.83,36.5,22.4,613.7,0.5,0.4,800.0,2.9,2.9,1000.0,1.685,1.5,774.4100000000001,96.8,23.9,246.9,0.8,1.5,1875.0
9,1,1975,14,Chhattisgarh,Durg,462.875,454.0,758.82,49.2,27.8,565.04,0.2,0.2,1000.0,2.9,2.9,1000.0,1.685,1.5,774.4100000000001,131.5,30.8,234.22,0.8,1.4,1750.0
